date,throughput,pkt_num
2021-07-03T02:00,69722,247
2021-07-03T02:01,102829,352
2021-07-03T02:02,70565,253
2021-07-03T02:03,106504,375
2021-07-03T02:04,83460,312
2021-07-03T02:05,95535,310
2021-07-03T02:06,76751,297
2021-07-03T02:07,95147,317
2021-07-03T02:08,71414,260
2021-07-03T02:09,100879,348
2021-07-03T02:10,73287,281
2021-07-03T02:11,100443,342
2021-07-03T02:12,68366,252
2021-07-03T02:13,101726,327
2021-07-03T02:14,72833,283
2021-07-03T02:15,103882,349
2021-07-03T02:16,74761,300
2021-07-03T02:17,100955,349
2021-07-03T02:18,72022,257
2021-07-03T02:19,113957,428
2021-07-03T02:20,71234,257
2021-07-03T02:21,102859,347
2021-07-03T02:22,76942,306
2021-07-03T02:23,105642,350
2021-07-03T02:24,73745,284
2021-07-03T02:25,101952,345
2021-07-03T02:26,78226,353
2021-07-03T02:27,98966,344
2021-07-03T02:28,79304,301
2021-07-03T02:29,100895,348
2021-07-03T02:30,70776,256
2021-07-03T02:31,101945,352
2021-07-03T02:32,70506,258
2021-07-03T02:33,111506,386
2021-07-03T02:34,76229,279
2021-07-03T02:35,110859,409
2021-07-03T02:36,74608,271
2021-07-03T02:37,97625,336
2021-07-03T02:38,76570,284
2021-07-03T02:39,96181,325
2021-07-03T02:40,77966,292
2021-07-03T02:41,96640,328
2021-07-03T02:42,77674,300
2021-07-03T02:43,94319,304
2021-07-03T02:44,73022,272
2021-07-03T02:45,101750,351
2021-07-03T02:46,72188,249
2021-07-03T02:47,98777,341
2021-07-03T02:48,71318,238
2021-07-03T02:49,97130,335
2021-07-03T02:50,70281,241
2021-07-03T02:51,105835,389
2021-07-03T02:52,72796,246
2021-07-03T02:53,101984,350
2021-07-03T02:54,74009,267
2021-07-03T02:55,103472,364
2021-07-03T02:56,69183,237
2021-07-03T02:57,108134,411
2021-07-03T02:58,82754,322
2021-07-03T02:59,98956,338
2021-07-03T03:00,87418,351
2021-07-03T03:01,103513,367
2021-07-03T03:02,76211,297
2021-07-03T03:03,105103,391
2021-07-03T03:04,85345,331
2021-07-03T03:05,105263,393
2021-07-03T03:06,78694,291
2021-07-03T03:07,112898,431
2021-07-03T03:08,79464,319
2021-07-03T03:09,108711,407
2021-07-03T03:10,82989,319
2021-07-03T03:11,93474,340
2021-07-03T03:12,93435,373
2021-07-03T03:13,93913,339
2021-07-03T03:14,85336,316
2021-07-03T03:15,104816,420
2021-07-03T03:16,85499,313
2021-07-03T03:17,98330,369
2021-07-03T03:18,77490,277
2021-07-03T03:19,99983,377
2021-07-03T03:20,87817,342
2021-07-03T03:21,107164,384
2021-07-03T03:22,92273,367
2021-07-03T03:23,102299,383
2021-07-03T03:24,89568,359
2021-07-03T03:25,99937,365
2021-07-03T03:26,86702,332
2021-07-03T03:27,106760,375
2021-07-03T03:28,89021,356
2021-07-03T03:29,95793,362
2021-07-03T03:30,94330,359
2021-07-03T03:31,90530,332
2021-07-03T03:32,91269,345
2021-07-03T03:33,97065,383
2021-07-03T03:34,95972,381
2021-07-03T03:35,98757,390
2021-07-03T03:36,88859,325
2021-07-03T03:37,92867,357
2021-07-03T03:38,92497,351
2021-07-03T03:39,101019,418
2021-07-03T03:40,91173,333
2021-07-03T03:41,103051,417
2021-07-03T03:42,93535,354
2021-07-03T03:43,90247,333
2021-07-03T03:44,93443,351
2021-07-03T03:45,102273,408
2021-07-03T03:46,94684,364
2021-07-03T03:47,89470,346
2021-07-03T03:48,102473,396
2021-07-03T03:49,96924,391
2021-07-03T03:50,115430,457
2021-07-03T03:51,98139,393
2021-07-03T03:52,105159,421
2021-07-03T03:53,92875,377
2021-07-03T03:54,106909,418
2021-07-03T03:55,88689,342
2021-07-03T03:56,114919,443
2021-07-03T03:57,96412,379
2021-07-03T03:58,100451,391
