date,throughput,pkt_num,time_range,type
2021-07-03T02:00,198329,1238,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:01,158541,941,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:02,304421,922,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:03,156919,720,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:04,201102,744,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:05,116243,1064,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:06,80546,539,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:07,254492,623,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:08,261289,1194,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:09,189600,1023,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:10,244717,960,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:11,168985,752,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:12,232057,979,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:13,386046,1065,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:14,251253,1033,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:15,110155,992,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:16,156639,848,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:17,231622,886,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:18,174806,935,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:19,253821,1462,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:20,289123,829,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:21,95600,774,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:22,315430,1045,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:23,138311,766,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:24,326370,1150,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:25,426243,2216,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:26,529622,1569,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:27,196425,709,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
2021-07-03T02:28,105417,780,2021-07-03 10:00:00 ~ 2021-07-03 10:59:00,udp
